功能,画面特征/时间戳,页面标题 (Page Title),菜单路径 (Menu Path),核心业务功能 (Core Function),网页内容 (Webpage Content),映射 URL (Mapped URL),置信度
菜单——库存,Video1-00:08,所有库存,库存 > 管理所有库存,管理全部 SKU 的库存与基础销售状态,账户停用警告 Banner；含 SKU、FNSKU、价格、可售数量的 Data Table；多级 Tabs（所有库存、了解更多信息等）,https://sellercentral.amazon.com/myinventory/inventory?ref_=xx_invmgr_dnav_xx,High
,Video1-00:20,修复无在售信息的亚马逊库存,库存 > 管理所有库存 > 了解更多信息,处理异常滞留库存 (Stranded Inventory),筛选器与搜索框；展示滞留商品图片、ASIN、滞留原因及建议操作的 Data Table,https://sellercentral.amazon.com/inventory/view/fix-issues?fulfillmentType=all&page=1&pageSize=10&sort=-date_created_desc&status=inactive,High
,Video1-00:27,改善商品信息,库存 > 管理所有库存 > 改善商品信息,优化 Listing 质量以提升转化率,按搜索词/日期过滤的查询控件；展示需改进商品、问题类型及操作按钮的 Data Table,https://sellercentral.amazon.com/inventory/view/optimize-listings?favorites=true&fulfilledBy=all&page=1&pageSize=10&sort=sales_desc&status=needs_improvement,High
,Video1-00:46,卖家自配送商品,库存 > 管理卖家自配送商品,监控 MFN (自发货) 绩效与销售数据,销售额度统计面板；按商品排列的销量与可用数量 Data Table,https://sellercentral.amazon.com/seller-fulfilled-product/analytics/ref=xx_msfp_dnav_xx_SHIPPING_PREFERENCES,High
,Video1-01:08,Customer Service by Amazon (CSBA) 洞察控制面板,页面内触发的 Modal 弹窗,分析亚马逊代客服务 CSBA 绩效,Modal 覆盖层；包含退款率、满意度趋势、订单级别的客诉详情 Data Table,https://sellercentral.amazon.com/seller-fulfilled-product/analytics/ref=xx_msfp_dnav_xx,High
,Video1-01:21,全球销售,库存 > Sell Globally,监控跨国店铺业务指标与账户连接状态,账户绑定向导卡片；按北美/欧洲/亚太划分的区域销售额看板 (Line Chart 与 Data Table),https://sellercentral.amazon.com/sell-globally/home,High
,Video1-02:16,Request Access to Automotive Fitment Manager,库存 > Manage Automotive Fitment Data,汽配类目专属 AFM 工具开通申请,白板页面结构；核心文案与单一 Primary Button (Request Access),https://sellercentral.amazon.com/automotive-mfn/ref=xx_ptfm_dnav_xx,High
,Video1-02:30,亚马逊物流控制面板,库存 > 亚马逊物流库存 > 控制面板,FBA 全局健康度与仓储容量总览,多维看板组合：IPI (库存绩效指标) 趋势图、仓储限制使用量 Bar、超龄库存附加费预估 Widgets,https://sellercentral.amazon.com/fba/dashboard?ref_=xx_fbadashboard_dnav_xx,High
,Video1-03:16,亚马逊物流库存,库存 > 亚马逊物流库存 > 库存,FBA 单品库存周转与补货建议评估,包含商品详情、供货天数、建议补货量及超期预估费用的复杂业务 Data Table,https://sellercentral.amazon.com/inventoryplanning/manageinventoryhealth?ref_=xx_invplan_dnav_xx,High
,Video1-04:31,货件处理进度,库存 > 亚马逊物流库存 > 货件,追踪向亚马逊仓库发货的物流状态,Tabs 分类（运营中心、货件等）；包含货件编号、创建时间、状态追踪流及收货进度的 Data Table,https://sellercentral.amazon.com/go/suo/shipping-queue.html?ref=xx_fbashipq_dnav_xx#fbaShipment,High
